team_id,total_points,fg_att,fg_made,three_att,three_made,free_att,free_made,off_rebound,def_rebound,assists,steals,blocks,turnovers
0,8857,6978,3168,2742,985,1903,1536,744,2698,2069,617,340,1088
1,8762,6918,3211,1996,725,2028,1615,871,2676,1517,677,400,1041
2,8556,7256,3244,2022,704,1731,1364,983,2723,1786,581,455,1139
3,8400,6992,3088,2443,831,1806,1393,807,2706,1949,692,420,1366
4,8673,6987,3102,2591,877,2020,1592,721,2879,1756,593,387,1356
5,8435,5295,2341,1262,409,1475,1177,770,2085,1318,815,477,295
6,8435,7141,3169,1831,623,1848,1474,999,2797,1851,643,393,1112
7,8288,7133,3139,2139,701,1753,1309,807,2734,1820,580,396,1091
8,8601,7000,3093,2347,824,1953,1591,721,2853,1891,571,390,942
9,8459,6918,3123,2137,729,2039,1484,842,2793,1938,672,397,1294
10,8953,7137,3388,2030,756,1812,1421,843,2671,1956,693,336,1162
11,9048,6963,3275,2779,1067,1913,1431,766,2821,1858,539,327,1121
12,8309,7282,3269,1915,631,1586,1140,908,2838,1732,574,310,973
13,8618,6931,3221,1885,709,1811,1467,742,2702,1844,669,409,1130
14,8497,6715,3182,1946,720,1839,1413,723,2589,1984,666,436,1145
15,9161,7194,3377,2365,870,1986,1537,966,2837,2077,568,323,1226
16,8741,7169,3237,2116,692,2113,1575,1002,2821,1721,648,408,1230
17,8851,7059,3243,2272,852,1940,1513,830,2750,1733,574,408,1126
18,8251,6515,3033,2128,791,1875,1401,771,2774,1651,550,410,1118
19,8657,6922,3235,1723,601,1986,1586,938,2540,1940,654,370,1150
20,9503,7140,3532,2562,982,1850,1457,770,2873,2491,785,555,1211
21,8911,6820,3242,2245,841,2128,1586,738,2790,1848,612,347,1062
22,8575,7164,3224,2110,730,1853,1397,933,2636,1716,674,320,1243
23,8831,7260,3270,1854,615,2159,1676,976,2712,1604,673,399,1265
24,8430,6734,3105,1960,737,1913,1483,715,2652,1844,627,324,1201
25,8029,6750,2968,2473,878,1516,1215,647,2516,1705,614,307,972
26,9458,7152,3305,3306,1181,2177,1667,892,2746,2070,670,352,1240
27,8239,6854,2984,2169,767,1918,1504,886,2621,1744,653,344,1059
28,8556,7130,3210,2196,768,1825,1368,703,2879,1869,638,453,1054
29,8637,6864,3222,1927,753,1806,1440,821,2777,1954,655,484,1101
